title,year,type,status,watched_date,rating
Knives Out,2019,movie,watched,2021-01-15,8
Glass Onion: A Knives Out Mystery,2022,movie,watched,2021-01-22,7
Star Wars: A New Hope,1977,movie,watched,2021-01-29,9
Star Wars: The Empire Strikes Back,1980,movie,watched,2021-02-05,9
Star Wars: Return of the Jedi,1983,movie,watched,2021-02-12,8
Star Wars: The Phantom Menace,1999,movie,watched,2021-02-19,7
Star Wars: Attack of the Clones,2002,movie,watched,2021-02-26,7
Star Wars: Revenge of the Sith,2005,movie,watched,2021-03-05,8
Star Wars: The Force Awakens,2015,movie,watched,2021-03-12,8
Star Wars: The Last Jedi,2017,movie,watched,2021-03-19,7
Star Wars: The Rise of Skywalker,2019,movie,watched,2021-03-26,7
Now You See Me,2013,movie,watched,2021-04-02,7
Now You See Me 2,2016,movie,watched,2021-04-09,7
X-Men,2000,movie,watched,2021-04-16,7
X2: X-Men United,2003,movie,watched,2021-04-23,8
X-Men: The Last Stand,2006,movie,watched,2021-04-30,7
X-Men: First Class,2011,movie,watched,2021-05-07,8
X-Men: Days of Future Past,2014,movie,watched,2021-05-14,8
X-Men: Apocalypse,2016,movie,watched,2021-05-21,7
Dark Phoenix,2019,movie,watched,2021-05-28,6
Deadpool,2016,movie,watched,2021-06-04,8
Deadpool 2,2018,movie,watched,2021-06-11,8
Deadpool & Wolverine,2024,movie,watched,2021-06-18,8
Kung Fu Panda,2008,movie,watched,2021-06-25,8
Kung Fu Panda 2,2011,movie,watched,2021-07-02,7
Kung Fu Panda 3,2016,movie,watched,2021-07-09,7
Kung Fu Panda 4,2024,movie,watched,2021-07-16,7
Avatar,2009,movie,watched,2021-07-23,8
Avatar: The Way of Water,2022,movie,watched,2021-07-30,8
Batman Begins,2005,movie,watched,2021-08-06,8
The Dark Knight,2008,movie,watched,2021-08-13,9
The Dark Knight Rises,2012,movie,watched,2021-08-20,8
Mission: Impossible,1996,movie,watched,2021-08-27,7
Mission: Impossible 2,2000,movie,watched,2021-09-03,6
Mission: Impossible III,2006,movie,watched,2021-09-10,7
